ec_number,pd_segment,tenor,period,ecl_bucket,avg_marginal_pd_loan,avg_marginal_pd_client,avg_marginal_pd_balance,wa_marginal_pd_loan,wa_marginal_pd_client,wa_marginal_pd_balance,pt_date
EC1,Digital_BCL,6,10,5,0,0,0,0,0,0,3/31/2024
EC1,Digital_SPL,6,13,1,0,0,0,0,0,0,3/31/2024
EC1,Digital_SPL,12,9,3,0,0,0,0,0,0,3/31/2024
EC1,Digital_BCL,12,11,3,0,0,0,0,0,0,3/31/2024
EC1,Digital_BCL,2,4,3,0,0,0,0,0,0,3/31/2024
EC1,Digital_SPL,3,21,5,0,0,0,0,0,0,3/31/2024
EC1,Digital_SPL,1,19,5,0,0,0,0,0,0,3/31/2024
EC1,Digital_BCL,2,8,1,0,0,0,0,0,0,3/31/2024
EC1,Digital_SPL,3,23,5,0,0,0,0,0,0,3/31/2024
EC1,Digital_BCL,12,10,3,0,0,0,0,0,0,3/31/2024
EC1,Digital_SPL,6,15,2,0,0,0,0,0,0,3/31/2024
EC1,Digital_SPL,6,7,3,0,0,0,0,0,0,3/31/2024
EC1,Digital_BCL,6,20,5,0,0,0,0,0,0,3/31/2024
EC1,Digital_BCL,6,12,1,0,0,0,0,0,0,3/31/2024
EC1,Digital_SPL,1,13,2,0,0,0,0,0,0,3/31/2024
EC1,Digital_BCL,12,4,1,0.259560255,0.268576669,0.309624,0.29153814,0.30731619,0.349952,3/31/2024
EC1,Digital_BCL,12,5,1,0.300479355,0.309512617,0.326295,0.161775301,0.174979929,0.213557,3/31/2024
EC1,Digital_BCL,6,4,1,0.176422305,0.194202008,0.251567,0.173624666,0.197094233,0.260954,3/31/2024
EC1,Digital_SPL,1,7,5,0,0,0,0,0,0,3/31/2024
EC1,Digital_SPL,1,20,3,0,0,0,0,0,0,3/31/2024
EC1,Digital_SPL,3,22,1,0,0,0,0,0,0,3/31/2024
EC1,Digital_SPL,3,5,4,0,0,0,0,0,0,3/31/2024
EC1,Digital_BCL,6,1,5,1,1,1,1,1,1,3/31/2024
EC1,Digital_BCL,6,5,5,0,0,0,0,0,0,3/31/2024
EC1,Digital_SPL,6,20,5,0,0,0,0,0,0,3/31/2024
EC1,Digital_SCL,12,9,5,0,0,0,0,0,0,3/31/2024
EC1,Digital_BCL,6,8,1,0,0,0,0,0,0,3/31/2024
EC1,Digital_SPL,12,31,3,0,0,0,0,0,0,3/31/2024
EC1,Digital_SPL,6,16,2,0,0,0,0,0,0,3/31/2024
EC1,Digital_SPL,3,19,3,0,0,0,0,0,0,3/31/2024
EC1,Digital_BCL,3,23,4,0,0,0,0,0,0,3/31/2024
EC1,Digital_SCL,6,18,1,0,0,0,0,0,0,3/31/2024
EC1,Digital_AKL,6,4,2,0.000159388,0.000168805,0.000023,0.000159388,0.000168805,0.000023,3/31/2024
EC1,Digital_SPL,12,9,2,0,0,0,0,0,0,3/31/2024
EC1,Digital_BCL,12,10,4,0,0,0,0,0,0,3/31/2024
EC1,Digital_SPL,6,9,5,0,0,0,0,0,0,3/31/2024
EC1,Digital_BCL,12,9,3,0,0,0,0,0,0,3/31/2024
EC1,Digital_BCL,3,4,2,0.483247982,0.474601584,0.511684,0.482178749,0.461478751,0.494937,3/31/2024
EC1,Digital_SCL,6,11,1,0,0,0,0,0,0,3/31/2024
EC1,Digital_SCL,3,7,3,0,0,0,0,0,0,3/31/2024
EC1,Digital_BCL,2,6,2,0,0,0,0,0,0,3/31/2024
EC1,Digital_SPL,1,29,1,0,0,0,0,0,0,3/31/2024
EC1,Digital_SPL,3,14,1,0,0,0,0,0,0,3/31/2024
EC1,Digital_SCL,6,2,1,0.000388648,0.000425987,0.000056,0.000368617,0.000424906,0.000054,3/31/2024
EC1,Digital_SCL,12,16,2,0,0,0,0,0,0,3/31/2024
EC1,Digital_SPL,3,7,5,0,0,0,0,0,0,3/31/2024
EC1,Digital_SPL,12,2,2,0.029738789,0.030542108,0.027172,0.029788586,0.03381111,0.028524,3/31/2024
EC1,Digital_SPL,6,12,2,0,0,0,0,0,0,3/31/2024
EC1,Digital_SCL,3,13,1,0,0,0,0,0,0,3/31/2024
EC1,Digital_SPL,12,6,1,0.052263703,0.052477954,0.059641,0.022675535,0.024574784,0.035531,3/31/2024
EC1,Digital_BCL,3,3,2,0.312648211,0.309036881,0.324955,0.280362628,0.291791927,0.312299,3/31/2024
EC1,Digital_SPL,3,8,3,0,0,0,0,0,0,3/31/2024
EC1,Digital_SPL,3,29,5,0,0,0,0,0,0,3/31/2024
EC1,Digital_SCL,12,15,2,0,0,0,0,0,0,3/31/2024
EC1,Digital_BCL,6,10,1,0,0,0,0,0,0,3/31/2024
EC1,Digital_SPL,1,4,5,0,0,0,0,0,0,3/31/2024
EC1,Digital_SPL,6,24,1,0,0,0,0,0,0,3/31/2024
EC1,Digital_SPL,6,30,1,0,0,0,0,0,0,3/31/2024
EC1,Digital_SPL,24,8,1,0,0,0,0,0,0,3/31/2024
EC1,Digital_SPL,6,19,2,0,0,0,0,0,0,3/31/2024
EC1,Digital_SCL,12,6,1,0.09430996,0.103168509,0.116481,0.049575594,0.064174811,0.06836,3/31/2024
EC1,Digital_BCL,3,3,4,0.000346542,0.000335735,0.000264,9.04096E-05,1.47312E-05,0.000063,3/31/2024
EC1,Digital_BCL,6,16,4,0,0,0,0,0,0,3/31/2024
EC1,Digital_SPL,1,6,2,0,0,0,0,0,0,3/31/2024
EC1,Digital_BCL,2,3,4,0,0,0,0,0,0,3/31/2024
EC1,Digital_SPL,3,26,3,0,0,0,0,0,0,3/31/2024
EC1,Digital_SCL,3,17,4,0,0,0,0,0,0,3/31/2024
EC1,Digital_SPL,12,10,3,0,0,0,0,0,0,3/31/2024
EC1,Digital_SPL,12,8,2,0,0,0,0,0,0,3/31/2024
EC1,Digital_SPL,6,11,2,0,0,0,0,0,0,3/31/2024
EC1,Digital_SPL,12,18,5,0,0,0,0,0,0,3/31/2024
EC1,Digital_SCL,6,7,3,0,0,0,0,0,0,3/31/2024
EC1,Digital_SPL,6,23,1,0,0,0,0,0,0,3/31/2024
EC1,Digital_BCL,12,4,4,0,0,0,0,0,0,3/31/2024
EC1,Digital_SPL,3,11,3,0,0,0,0,0,0,3/31/2024
EC1,Digital_SCL,12,12,2,0,0,0,0,0,0,3/31/2024
EC1,Digital_BCL,2,10,2,0,0,0,0,0,0,3/31/2024
EC1,Digital_BCL,3,22,3,0,0,0,0,0,0,3/31/2024
EC1,Digital_BCL,12,19,3,0,0,0,0,0,0,3/31/2024
EC1,Digital_SCL,3,16,3,0,0,0,0,0,0,3/31/2024
EC1,Digital_BCL,3,26,2,0,0,0,0,0,0,3/31/2024
EC1,Digital_BCL,3,15,1,0,0,0,0,0,0,3/31/2024
EC1,Digital_BCL,6,21,2,0,0,0,0,0,0,3/31/2024
EC1,Digital_SCL,6,3,4,0.012104656,0.011041717,0.012063,0.010881662,0.008603736,0.009261,3/31/2024
EC1,Digital_BCL,12,17,3,0,0,0,0,0,0,3/31/2024
EC1,Digital_BCL,2,12,2,0,0,0,0,0,0,3/31/2024
EC1,Digital_BCL,2,14,1,0,0,0,0,0,0,3/31/2024
EC1,Digital_BCL,12,20,5,0,0,0,0,0,0,3/31/2024
EC1,Digital_BCL,6,22,3,0,0,0,0,0,0,3/31/2024
EC1,Digital_SCL,6,17,5,0,0,0,0,0,0,3/31/2024
EC1,Digital_SPL,3,6,2,0,0,0,0,0,0,3/31/2024
EC1,Digital_SPL,12,17,4,0,0,0,0,0,0,3/31/2024
EC1,Digital_BCL,3,17,1,0,0,0,0,0,0,3/31/2024
EC1,Digital_SCL,6,10,4,0,0,0,0,0,0,3/31/2024
EC1,Digital_SPL,18,2,4,0.995634328,0.994436381,0.994869,0.993311037,0.991489362,0.992481,3/31/2024
EC1,Digital_BCL,2,27,2,0,0,0,0,0,0,3/31/2024
EC1,Digital_BCL,2,18,1,0,0,0,0,0,0,3/31/2024
EC1,Digital_SCL,6,3,3,0.889013843,0.895278758,0.917882,0.873675195,0.876378772,0.914942,3/31/2024
